Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
#P-S88@35	11.92	6741	-903	2.49	2.23E+09	0.00204216	0.18	0.0266	27	-1	25	0.00205175	23.21	
#P-S88@36	11.98	6772	-884	2.48	2.24E+09	0.00204279	0.20	0.0262	28	-1	22	0.00205238	23.53	
#P-S88@37	12.05	6802	-865	2.49	2.25E+09	0.00203949	0.20	0.0278	28	-2	23	0.00204906	21.87	
#P-S88@38	12.12	6832	-846	2.49	2.22E+09	0.00204032	0.20	0.0277	29	-1	26	0.00204990	22.29	
#P-S88@39	12.20	6863	-827	2.50	2.22E+09	0.00204118	0.22	0.0279	29	-3	25	0.00205077	22.72	
#P-S88@40	12.27	6893	-808	2.50	2.24E+09	0.00204250	0.17	0.0258	31	1	21	0.00205208	23.38	
#P-S88@41	12.33	6923	-789	2.50	2.27E+09	0.00204359	0.15	0.0261	30	-3	21	0.00205318	23.93	
#P-S88@42	12.40	6954	-770	2.50	2.24E+09	0.00204417	0.19	0.0287	32	-3	25	0.00205377	24.22	
#P-S88@43	12.47	6984	-751	2.50	2.23E+09	0.00204118	0.18	0.0260	32	-2	24	0.00205077	22.72	
#P-S88@44	12.53	7014	-732	2.50	2.22E+09	0.00204010	0.17	0.0289	32	-2	21	0.00204968	22.18	
#P-S88@45	24.08	7045	-713	2.29	2.24E+09	0.00204128	0.11	0.0262	35	-1	27	0.00205086	22.77	
#P-S88@46	24.15	7075	-694	2.34	2.12E+09	0.00204331	0.20	0.0241	34	-5	29	0.00205290	23.79	
#P-S88@47	24.22	7105	-675	2.33	2.12E+09	0.00204475	0.17	0.0233	36	-4	28	0.00205435	24.51	
#P-S88@48	24.28	7136	-656	2.33	2.14E+09	0.00204401	0.16	0.0233	36	-4	25	0.00205360	24.14	
#P-S88@49	24.35	7166	-637	2.34	2.13E+09	0.00204129	0.19	0.0248	36	-6	25	0.00205087	22.78	
#P-S88@50	24.42	7197	-618	2.34	2.12E+09	0.00204447	0.17	0.0225	37	-5	27	0.00205406	24.37	
#P-S88@51	24.63	7227	-599	2.35	2.14E+09	0.00205050	0.21	0.0253	36	-6	27	0.00206012	27.39	
#P-S88@52	24.70	7257	-580	2.35	2.15E+09	0.00204291	0.20	0.0253	37	-5	25	0.00205249	23.59	
#P-S88@53	24.77	7288	-561	2.35	2.12E+09	0.00204480	0.19	0.0258	38	-4	24	0.00205440	24.54	
#P-S88@54	24.83	7318	-542	2.36	2.14E+09	0.00204719	0.15	0.0259	38	-7	25	0.00205680	25.73	
#P-S88@55	24.90	7348	-523	2.36	2.14E+09	0.00204255	0.17	0.0258	39	-5	25	0.00205214	23.41	
#P-S88@56	24.97	7379	-504	2.35	2.15E+09	0.00204192	0.17	0.0273	38	-7	22	0.00205150	23.09	
#P-S88@57	25.05	7409	-485	2.34	2.15E+09	0.00204078	0.19	0.0275	39	-7	24	0.00205036	22.52	
#Q-S88@01	32.92	5125	1601	2.35	2.12E+09	0.00203635	0.17	0.0313	27	-10	29	0.00204590	20.30	
#Q-S88@02	32.99	5096	1621	2.35	2.14E+09	0.00203606	0.14	0.0320	26	-10	29	0.00204562	20.16	
#Q-S88@03	33.05	5067	1641	2.35	2.15E+09	0.00203622	0.13	0.0319	26	-11	30	0.00204578	20.24	
#Q-S88@04	33.12	5039	1662	2.35	2.16E+09	0.00203669	0.18	0.0311	26	-11	29	0.00204625	20.47	
#Q-S88@05	33.19	5011	1683	2.36	2.12E+09	0.00203704	0.17	0.0298	26	-11	27	0.00204660	20.65	
#Q-S88@06	33.25	4983	1703	2.36	2.17E+09	0.00203736	0.19	0.0295	26	-11	27	0.00204693	20.81	
#Q-S88@07	33.32	4955	1724	2.36	2.16E+09	0.00203757	0.17	0.0301	25	-11	29	0.00204713	20.91	
#Q-S88@08	33.39	4926	1745	2.36	2.17E+09	0.00203722	0.20	0.0304	26	-12	29	0.00204678	20.74	
#Q-S88@09	33.60	4898	1765	2.38	2.17E+09	0.00203695	0.18	0.0299	26	-12	29	0.00204651	20.60	
#Q-S88@10	33.67	4870	1786	2.38	2.13E+09	0.00203642	0.16	0.0308	25	-11	30	0.00204598	20.34	
#Q-S88@11	33.74	4842	1807	2.38	2.17E+09	0.00203756	0.17	0.0283	25	-11	28	0.00204712	20.91	
#Q-S88@12	33.80	4814	1827	2.37	2.12E+09	0.00203649	0.17	0.0346	25	-12	27	0.00204605	20.37	
#Q-S88@13	33.87	4786	1848	2.37	2.16E+09	0.00203788	0.16	0.0312	25	-12	28	0.00204744	21.07	
#Q-S88@14	33.94	4757	1869	2.36	2.11E+09	0.00203522	0.17	0.0330	26	-10	29	0.00204477	19.73	
#Q-S88@15	34.00	4729	1890	2.36	2.10E+09	0.00203429	0.15	0.0337	26	-10	30	0.00204383	19.27	
#Q-S88@16	34.07	4701	1910	2.36	2.11E+09	0.00203503	0.17	0.0335	25	-10	30	0.00204458	19.64	
#Q-S88@17	34.14	4673	1931	2.35	2.12E+09	0.00203786	0.20	0.0314	25	-10	29	0.00204742	21.06	
#Q-S88@18	34.20	4645	1952	2.35	2.16E+09	0.00203868	0.18	0.0299	25	-10	28	0.00204825	21.47	
#Q-S88@19	34.27	4616	1972	2.35	2.14E+09	0.00203902	0.20	0.0309	25	-10	28	0.00204859	21.64	
#Q-S88@20	34.34	4588	1993	2.35	2.14E+09	0.00204126	0.17	0.0271	25	-10	30	0.00205085	22.76	
#Q-S88@21	34.40	4560	2014	2.35	2.12E+09	0.00204401	0.16	0.0275	25	-10	30	0.00205361	24.14	
#Q-S88@22	34.47	4532	2035	2.35	2.13E+09	0.00204274	0.18	0.0280	25	-10	27	0.00205233	23.50	
#Q-S88@23	34.54	4504	2055	2.35	2.13E+09	0.00204148	0.19	0.0283	25	-10	29	0.00205106	22.87	
#Q-S88@24	34.60	4476	2076	2.35	2.15E+09	0.00204052	0.20	0.0269	25	-10	28	0.00205010	22.39	
#Q-S88@25	34.67	4447	2097	2.36	2.13E+09	0.00203955	0.19	0.0269	25	-12	31	0.00204912	21.90	
#Q-S88@26	34.74	4419	2117	2.36	2.14E+09	0.00203981	0.20	0.0271	25	-12	31	0.00204938	22.03	
#Q-S88@27	34.80	4391	2138	2.34	2.13E+09	0.00203961	0.18	0.0262	25	-12	31	0.00204919	21.94	
#Q-S88@28	34.87	4363	2159	2.35	2.13E+09	0.00203956	0.17	0.0259	25	-12	29	0.00204913	21.91	
